name,port,header,protocol,status,fill,stroke,refs,image
BEI Phone Forwarder,8180,,http,Started,#d5e8d9,#82b371,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
BEI Voicemail forwarder,8181,,http,Started,#d5e8d10,#82b372,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
BenefitsTipOff (PlayerPension),8666,,http,Started,#d5e8d11,#82b373,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
bizboxscore.redirect,8982,,http,Started,#d5e8d12,#82b374,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
BoxKeyService,8060,,http,Started,#d5e8d13,#82b375,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
BoxKeyServiceRest,80,boxkeyservicerest,http,Started,#d5e8d14,#82b376,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
BXFLog,8164,,http,Started,#d5e8d15,#82b377,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
Call Log,8183,,http,Started,#d5e8d16,#82b378,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
Call Parrot Redirect,80,nbacallparrot,http,Stopped,#d5e8d17,#82b379,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
CareerCourt,80,careercourt,http,Started,#d5e8d18,#82b380,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
careercourtdev,9991,,http,Started,#d5e8d19,#82b381,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
CaseManagement,80,casemanagement,http,Started,#d5e8d20,#82b382,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
CGMRS,8088,,http,Started,#d5e8d21,#82b383,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
Cisco Phone Forwarder,8154,,http,Started,#d5e8d22,#82b384,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
Cisco Voicemail Forwarder,8155,,http,Started,#d5e8d23,#82b385,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
Citrix,8111,,http,Stopped,#d5e8d24,#82b386,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
CodeOfConduct,7071,,http,Started,#d5e8d25,#82b387,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
CodeOfConductAdmin,7072,,http,Started,#d5e8d26,#82b388,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
Compliance,8153,,http,Started,#d5e8d27,#82b389,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
Concur-New,8853,,http,Started,#d5e8d28,#82b390,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
ConductAndDiscipline,8343,,http,Started,#d5e8d29,#82b391,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
CorpPhoneDirectory,8156,,http,Started,#d5e8d30,#82b392,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
Courtside Staff,8175,,http,Started,#d5e8d31,#82b393,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
CPAMemotech,9090,,http,Stopped,#d5e8d32,#82b394,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
CRM Dynamics,8203,,http,Started,#d5e8d33,#82b395,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
CumeStats,8087,,http,Started,#d5e8d34,#82b396,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
DayOfService,8223,,http,Started,#d5e8d35,#82b397,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
